"station","hour","output","input","net","lon","lat","type","loctype","address","north","south","east","west","postal_code","country","administrative_area_level_2","administrative_area_level_1","locality","street","streetNo","point_of_interest","query"
"10th & Monroe St NE","13",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","05",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","21",1,0,-1,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","10",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","17",0,5,5,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","20",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","07",3,0,-3,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","04",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","01",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","08",2,0,-2,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
