"Duration","Start.date","End.date","Start.Station","End.Station","Bike.","Subscription.Type","newDate","count","monthYear"
"0h 7m 58s","12/15/2012 13:00","12/15/2012 13:08","14th & R St NW","Convention Center / 7th & M St NW","W20113","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 4m 33s","12/15/2012 13:00","12/15/2012 13:05","Lamont & Mt Pleasant NW","Park Rd & Holmead Pl NW","W01481","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 18m 13s","12/15/2012 13:00","12/15/2012 13:18","34th St & Wisconsin Ave NW","Thomas Circle","W00370","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 6m 42s","12/15/2012 13:00","12/15/2012 13:07","Lamont & Mt Pleasant NW","Georgia & New Hampshire Ave NW","W00509","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 14m 16s","12/15/2012 13:00","12/15/2012 13:14","Court House Metro / Wilson Blvd & N Uhle St","Georgetown Harbor / 30th St NW","W00085","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 14m 23s","12/15/2012 12:59","12/15/2012 13:14","Court House Metro / Wilson Blvd & N Uhle St","Georgetown Harbor / 30th St NW","W00704","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 10m 36s","12/15/2012 12:59","12/15/2012 13:10","19th & East Capitol St SE","4th & East Capitol St NE","W00756","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 7m 34s","12/15/2012 12:59","12/15/2012 13:07","Virginia Square Metro / N Monroe St & 9th St N","Wilson Blvd & N Edgewood St","W00868","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 16m 14s","12/15/2012 12:59","12/15/2012 13:16","Eastern Market Metro / Pennsylvania Ave & 7th St SE","4th St & Massachusetts Ave NW","W01466","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"1h 49m 4s","12/15/2012 13:00","12/15/2012 14:49","Lynn & 19th St North","Court House Metro / Wilson Blvd & N Uhle St","W20074","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 12m 6s","12/15/2012 13:00","12/15/2012 13:12","Columbus Circle / Union Station","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00331","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 12m 55s","12/15/2012 12:59","12/15/2012 13:12","4th St & Massachusetts Ave NW","Columbia Rd & Georgia Ave NW","W01239","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 12m 11s","12/15/2012 12:59","12/15/2012 13:11","Massachusetts Ave & Dupont Circle NW","10th & E St NW","W01227","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 16m 29s","12/15/2012 12:59","12/15/2012 13:16","Eastern Market Metro / Pennsylvania Ave & 7th St SE","4th St & Massachusetts Ave NW","W01205","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 7m 8s","12/15/2012 12:59","12/15/2012 13:06","8th & F St NW / National Portrait Gallery","North Capitol St & F St NW","W01275","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 6m 44s","12/15/2012 12:59","12/15/2012 13:06","8th & F St NW / National Portrait Gallery","North Capitol St & F St NW","W01080","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 21m 14s","12/15/2012 12:59","12/15/2012 13:20","N Veitch  & 20th St N","Metro Center / 12th & G St NW","W00894","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 4m 5s","12/15/2012 12:59","12/15/2012 13:03","20th & E St NW","22nd & I St NW / Foggy Bottom","W01154","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"3h 42m 6s","12/15/2012 12:59","12/15/2012 16:41","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W00178","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 7m 46s","12/15/2012 12:59","12/15/2012 13:07","10th & U St NW","14th & Rhode Island Ave NW","W01221","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 24m 25s","12/15/2012 12:59","12/15/2012 13:23","Lincoln Park / 13th & East Capitol St NE ","L'Enfant Plaza / 7th & C St SW","W00550","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 35m 40s","12/15/2012 12:58","12/15/2012 13:34","Idaho Ave & Newark St NW [on 2nd District patio]","C & O Canal & Wisconsin Ave NW","W00745","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 9m 29s","12/15/2012 12:59","12/15/2012 13:08","Connecticut Ave & Newark St NW / Cleveland Park","Adams Mill & Columbia Rd NW","W00010","Casual",2012-12-15 12:00:00,1,"2012-12"
"3h 0m 25s","12/15/2012 12:59","12/15/2012 16:00","8th & H St NW","8th & H St NW","W00258","Casual",2012-12-15 12:00:00,1,"2012-12"
