"Duration","Start.date","End.date","Start.Station","End.Station","Bike.","Subscription.Type","newDate","count","monthYear"
"0h 9m 36s","11/14/2012 15:10","11/14/2012 15:19","New Hampshire Ave & T St NW [formerly 16th & U St NW]","21st & M St NW","W00596","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 15m 32s","11/14/2012 15:10","11/14/2012 15:25","4th & E St SW","17th & K St NW / Farragut Square","W00117","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 18m 58s","11/14/2012 15:10","11/14/2012 15:28","Lamont & Mt Pleasant NW","Thomas Circle","W00232","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 12m 34s","11/14/2012 15:09","11/14/2012 15:22","5th St & K St NW","5th St & K St NW","W01339","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 4m 34s","11/14/2012 15:09","11/14/2012 15:14","19th St & Constitution Ave NW","Lincoln Memorial","W00585","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 3m 41s","11/14/2012 15:09","11/14/2012 15:13","4th St & Massachusetts Ave NW","North Capitol St & F St NW","W01285","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 13m 24s","11/14/2012 15:08","11/14/2012 15:22","15th & K St NW","C & O Canal & Wisconsin Ave NW","W00995","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 7m 25s","11/14/2012 15:08","11/14/2012 15:16","North Capitol St & F St NW","Maryland & Independence Ave SW","W20000","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 17m 13s","11/14/2012 15:08","11/14/2012 15:25","19th St & Constitution Ave NW","North Capitol St & F St NW","W01151","Casual",2012-11-14 15:00:00,1,"2012-11"
"1h 36m 29s","11/14/2012 15:12","11/14/2012 16:48","USDA / 12th & Independence Ave SW","Metro Center / 12th & G St NW","W00835","Casual",2012-11-14 15:00:00,1,"2012-11"
"0h 1m 17s","11/14/2012 15:08","11/14/2012 15:09","19th & E Street NW","19th St & Constitution Ave NW","W00585","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 6m 38s","11/14/2012 15:07","11/14/2012 15:14","Metro Center / 12th & G St NW","15th & K St NW","W00083","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 15m 43s","11/14/2012 15:07","11/14/2012 15:23","Massachusetts Ave & Dupont Circle NW","Florida Ave & R St NW","W00955","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 7m 23s","11/14/2012 15:06","11/14/2012 15:14","17th & Rhode Island Ave NW","McPherson Square - 14th & H St NW","W00123","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 47m 15s","11/14/2012 15:06","11/14/2012 15:54","14th & D St NW / Ronald Reagan Building","Columbus Circle / Union Station","W01177","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 10m 58s","11/14/2012 15:06","11/14/2012 15:17","California St & Florida Ave NW","US Dept of State / Virginia Ave & 21st St NW","W00875","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 15m 47s","11/14/2012 15:06","11/14/2012 15:22","New York Ave & 15th St NW","8th & H St NW","W01379","Casual",2012-11-14 15:00:00,1,"2012-11"
"0h 14m 16s","11/14/2012 15:06","11/14/2012 15:20","37th & O St NW / Georgetown University","California St & Florida Ave NW","W00357","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 6m 21s","11/14/2012 15:05","11/14/2012 15:12","3rd & D St SE","Columbus Circle / Union Station","W00458","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 9m 58s","11/14/2012 15:05","11/14/2012 15:15","22nd & I St NW / Foggy Bottom","14th & R St NW","W00364","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 3m 3s","11/14/2012 15:05","11/14/2012 15:08","20th & L St NW","25th St & Pennsylvania Ave NW","W00247","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 16m 33s","11/14/2012 15:05","11/14/2012 15:22","New York Ave & 15th St NW","8th & H St NW","W00061","Casual",2012-11-14 15:00:00,1,"2012-11"
"0h 7m 12s","11/14/2012 15:05","11/14/2012 15:12","22nd & I St NW / Foggy Bottom","17th & Rhode Island Ave NW","W00434","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 9m 19s","11/14/2012 15:04","11/14/2012 15:14","Florida Ave & R St NW","15th & P St NW","W20147","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 6m 59s","11/14/2012 15:04","11/14/2012 15:11","13th & H St NE","Columbus Circle / Union Station","W00303","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 5m 19s","11/14/2012 15:04","11/14/2012 15:09","Florida Ave & R St NW","Convention Center / 7th & M St NW","W00440","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 8m 40s","11/14/2012 15:04","11/14/2012 15:13","25th St & Pennsylvania Ave NW","17th & Rhode Island Ave NW","W00363","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 7m 39s","11/14/2012 15:04","11/14/2012 15:12","10th St & Constitution Ave NW","McPherson Square - 14th & H St NW","W01330","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 19m 38s","11/14/2012 15:04","11/14/2012 15:23","20th & L St NW","Columbus Circle / Union Station","W01494","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 21m 2s","11/14/2012 15:04","11/14/2012 15:25","1st & Rhode Island Ave NW","Georgia & New Hampshire Ave NW","W00634","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 10m 20s","11/14/2012 15:04","11/14/2012 15:14","USDA / 12th & Independence Ave SW","8th & H St NW","W01321","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 8m 21s","11/14/2012 15:03","11/14/2012 15:12","14th & D St NW / Ronald Reagan Building","19th & K St NW","W20191","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 5m 43s","11/14/2012 15:03","11/14/2012 15:09","Pentagon City Metro / 12th & Hayes St","Crystal City Metro / 18th & Bell St","W00573","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 5m 36s","11/14/2012 15:03","11/14/2012 15:09","Lincoln Park / 13th & East Capitol St NE ","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00009","Casual",2012-11-14 15:00:00,1,"2012-11"
"0h 9m 35s","11/14/2012 15:03","11/14/2012 15:12","19th & L St NW","19th & E Street NW","W01449","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 44m 27s","11/14/2012 15:03","11/14/2012 15:47","Jefferson Memorial","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W20145","Casual",2012-11-14 15:00:00,1,"2012-11"
"0h 8m 31s","11/14/2012 15:02","11/14/2012 15:11","Ward Circle / American University","Van Ness Metro / UDC","W01462","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 45m 56s","11/14/2012 15:02","11/14/2012 15:48","Jefferson Memorial","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W01094","Casual",2012-11-14 15:00:00,1,"2012-11"
"0h 9m 5s","11/14/2012 15:02","11/14/2012 15:11","Park Rd & Holmead Pl NW","Adams Mill & Columbia Rd NW","W00696","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 3m 45s","11/14/2012 15:01","11/14/2012 15:05","Georgia & New Hampshire Ave NW","Columbia Rd & Georgia Ave NW","W00997","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 11m 27s","11/14/2012 15:01","11/14/2012 15:12","North Capitol St & F St NW","Metro Center / 12th & G St NW","W01453","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 4m 4s","11/14/2012 15:01","11/14/2012 15:05","17th & Corcoran St NW","14th & R St NW","W00721","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 11m 46s","11/14/2012 15:01","11/14/2012 15:12","North Capitol St & F St NW","Metro Center / 12th & G St NW","W01483","Casual",2012-11-14 15:00:00,1,"2012-11"
"0h 2m 50s","11/14/2012 15:00","11/14/2012 15:03","Calvert St & Woodley Pl NW","Adams Mill & Columbia Rd NW","W01032","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 10m 52s","11/14/2012 15:00","11/14/2012 15:11","Massachusetts Ave & Dupont Circle NW","Thomas Circle","W00404","Casual",2012-11-14 15:00:00,1,"2012-11"
"0h 16m 58s","11/14/2012 15:00","11/14/2012 15:17","10th & E St NW","Lincoln Park / 13th & East Capitol St NE ","W20903","Subscriber",2012-11-14 15:00:00,1,"2012-11"
"0h 15m 7s","11/14/2012 14:59","11/14/2012 15:15","L'Enfant Plaza / 7th & C St SW","Lincoln Park / 13th & East Capitol St NE ","W00106","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 6m 25s","11/14/2012 14:59","11/14/2012 15:06","M St & Pennsylvania Ave NW","22nd & I St NW / Foggy Bottom","W00551","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 12m 40s","11/14/2012 14:58","11/14/2012 15:10","4th & D St NW / Judiciary Square","4th & M St SW","W00668","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 20m 11s","11/14/2012 14:58","11/14/2012 15:18","17th & Rhode Island Ave NW","16th & Harvard St NW","W01361","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 13m 1s","11/14/2012 14:58","11/14/2012 15:11","20th & Crystal Dr","Jefferson Memorial","W00453","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 7s","11/14/2012 14:57","11/14/2012 15:06","1st & Rhode Island Ave NW","14th & Rhode Island Ave NW","W00173","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 1s","11/14/2012 14:58","11/14/2012 15:07","New Hampshire Ave & T St NW [formerly 16th & U St NW]","19th & L St NW","W20142","Casual",2012-11-14 14:00:00,1,"2012-11"
"0h 6m 6s","11/14/2012 14:57","11/14/2012 15:03","19th & L St NW","22nd & I St NW / Foggy Bottom","W20893","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 10m 59s","11/14/2012 14:56","11/14/2012 15:07","10th & E St NW","Jefferson Dr & 14th St SW","W01283","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 14m 44s","11/14/2012 14:54","11/14/2012 15:09","17th & K St NW / Farragut Square","4th & M St SW","W20143","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 28m 4s","11/14/2012 14:55","11/14/2012 15:23","7th & T St NW","North Capitol St & F St NW","W00164","Casual",2012-11-14 14:00:00,1,"2012-11"
"0h 4m 10s","11/14/2012 14:54","11/14/2012 14:58","4th & East Capitol St NE","Lincoln Park / 13th & East Capitol St NE ","W00009","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 12m 34s","11/14/2012 14:54","11/14/2012 15:06","8th & F St NW / National Portrait Gallery","17th & K St NW [formerly 17th & L St NW]","W00933","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 5m 26s","11/14/2012 14:53","11/14/2012 14:59","17th & Rhode Island Ave NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W20045","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 48s","11/14/2012 14:53","11/14/2012 14:57","19th St & Pennsylvania Ave NW","McPherson Square - 14th & H St NW","W00887","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 11m 4s","11/14/2012 14:53","11/14/2012 15:04","4th St & Rhode Island Ave NE","Columbus Circle / Union Station","W01423","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 16m 31s","11/14/2012 14:53","11/14/2012 15:10","15th & K St NW","Adams Mill & Columbia Rd NW","W00650","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 7m 16s","11/14/2012 14:53","11/14/2012 15:00","Eastern Market Metro / Pennsylvania Ave & 7th St SE","Lincoln Park / 13th & East Capitol St NE ","W01420","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 18m 45s","11/14/2012 14:52","11/14/2012 15:11","M St & Pennsylvania Ave NW","10th & U St NW","W01015","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 12m 36s","11/14/2012 14:52","11/14/2012 15:05","New York Ave & 15th St NW","M St & Pennsylvania Ave NW","W01236","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 8m 36s","11/14/2012 14:52","11/14/2012 15:01","Eastern Market Metro / Pennsylvania Ave & 7th St SE","4th & E St SW","W00117","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 20m 38s","11/14/2012 14:51","11/14/2012 15:12","Fairfax Dr & Glebe Rd","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","W00653","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 15m 16s","11/14/2012 14:51","11/14/2012 15:07","Columbus Circle / Union Station","14th & D St SE","W00785","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 24m 28s","11/14/2012 14:51","11/14/2012 15:16","Ward Circle / American University","17th & Corcoran St NW","W01466","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 2m 43s","11/14/2012 14:50","11/14/2012 14:53","14th & R St NW","14th & V St NW","W00419","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 2m 54s","11/14/2012 14:50","11/14/2012 14:53","Calvert St & Woodley Pl NW","Adams Mill & Columbia Rd NW","W01269","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 44s","11/14/2012 14:50","11/14/2012 15:00","21st & I St NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W00543","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"1h 22m 45s","11/14/2012 14:50","11/14/2012 16:13","M St & New Jersey Ave SE","10th St & Constitution Ave NW","W00110","Casual",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 0s","11/14/2012 14:49","11/14/2012 14:52","N Veitch  & 20th St N","Key Blvd & N Quinn St","W00773","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"1h 22m 18s","11/14/2012 14:50","11/14/2012 16:12","M St & New Jersey Ave SE","10th St & Constitution Ave NW","W01468","Casual",2012-11-14 14:00:00,1,"2012-11"
"0h 7m 56s","11/14/2012 14:48","11/14/2012 14:56","Wilson Blvd & Franklin Rd","Key Blvd & N Quinn St","W20136","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 8m 21s","11/14/2012 14:47","11/14/2012 14:56","14th & D St NW / Ronald Reagan Building","5th & F St NW","W00992","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 17s","11/14/2012 14:47","11/14/2012 14:50","Court House Metro / Wilson Blvd & N Uhle St","Clarendon Blvd & Pierce St","W20936","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 10m 11s","11/14/2012 14:47","11/14/2012 14:57","North Capitol St & F St NW","4th & East Capitol St NE","W01338","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 5m 52s","11/14/2012 14:46","11/14/2012 14:52","Tenleytown / Wisconsin Ave & Albemarle St NW","Ward Circle / American University","W01192","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 6m 8s","11/14/2012 14:46","11/14/2012 14:52","19th & K St NW","Thomas Circle","W01408","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 18m 18s","11/14/2012 14:47","11/14/2012 15:05","Lincoln Memorial","New York Ave & 15th St NW","W01379","Casual",2012-11-14 14:00:00,1,"2012-11"
"0h 18m 45s","11/14/2012 14:46","11/14/2012 15:05","Lincoln Memorial","New York Ave & 15th St NW","W00530","Casual",2012-11-14 14:00:00,1,"2012-11"
"0h 1m 18s","11/14/2012 14:45","11/14/2012 14:47","Commerce St & Fayette St","King St & Patrick St","W00146","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 7m 26s","11/14/2012 14:45","11/14/2012 14:52","13th & D St NE","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00497","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 6s","11/14/2012 14:45","11/14/2012 14:54","14th & D St NW / Ronald Reagan Building","Jefferson Memorial","W00472","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 10m 32s","11/14/2012 14:45","11/14/2012 14:56","Adams Mill & Columbia Rd NW","Park Rd & Holmead Pl NW","W00696","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 44s","11/14/2012 14:44","11/14/2012 14:48","20th & L St NW","20th & O St NW / Dupont South","W20146","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 17s","11/14/2012 14:44","11/14/2012 14:47","18th & M St NW","17th & K St NW [formerly 17th & L St NW]","W01023","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 50s","11/14/2012 14:43","11/14/2012 14:53","19th & K St NW","15th & P St NW","W00399","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 2m 40s","11/14/2012 14:43","11/14/2012 14:45","17th & K St NW / Farragut Square","McPherson Square - 14th & H St NW","W01219","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 11m 5s","11/14/2012 14:43","11/14/2012 14:54","18th St & Pennsylvania Ave NW","Convention Center / 7th & M St NW","W20064","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 5m 23s","11/14/2012 14:41","11/14/2012 14:47","Eastern Market / 7th & North Carolina Ave SE","3rd & G St SE","W01176","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 12s","11/14/2012 14:41","11/14/2012 14:44","18th & M St NW","21st & M St NW","W01081","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 27m 24s","11/14/2012 14:41","11/14/2012 15:09","Thomas Circle","Jefferson Memorial","W20037","Casual",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 6s","11/14/2012 14:41","11/14/2012 14:44","17th & Corcoran St NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W01364","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 4m 32s","11/14/2012 14:41","11/14/2012 14:45","15th & P St NW","Massachusetts Ave & Dupont Circle NW","W00438","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 5m 47s","11/14/2012 14:40","11/14/2012 14:46","19th & L St NW","12th & L St NW","W01238","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 18m 16s","11/14/2012 14:39","11/14/2012 14:58","14th St Heights / 14th & Crittenden St NW","17th & Corcoran St NW","W00721","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 26m 56s","11/14/2012 14:39","11/14/2012 15:06","C & O Canal & Wisconsin Ave NW","Jefferson Dr & 14th St SW","W00865","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 5m 16s","11/14/2012 14:39","11/14/2012 14:44","19th & K St NW","McPherson Square - 14th & H St NW","W20148","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 15m 48s","11/14/2012 14:39","11/14/2012 14:54","4th & E St SW","20th & E St NW","W01270","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 8m 53s","11/14/2012 14:38","11/14/2012 14:47","14th & D St NW / Ronald Reagan Building","15th & P St NW","W20033","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 13m 32s","11/14/2012 14:38","11/14/2012 14:52","37th & O St NW / Georgetown University","Massachusetts Ave & Dupont Circle NW","W01114","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 5m 22s","11/14/2012 14:38","11/14/2012 14:43","McPherson Square - 14th & H St NW","10th St & Constitution Ave NW","W01406","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 42s","11/14/2012 14:37","11/14/2012 14:47","7th & T St NW","12th & L St NW","W00870","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 4m 15s","11/14/2012 14:37","11/14/2012 14:41","Eastern Market Metro / Pennsylvania Ave & 7th St SE","15th St & Massachusetts Ave SE","W00116","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 28s","11/14/2012 14:37","11/14/2012 14:40","17th & Rhode Island Ave NW","17th & Corcoran St NW","W01364","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 21m 11s","11/14/2012 14:36","11/14/2012 14:57","Commerce St & Fayette St","20th & Crystal Dr","W00453","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 18m 16s","11/14/2012 14:36","11/14/2012 14:54","3rd & G St SE","18th & M St NW","W01460","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 35s","11/14/2012 14:36","11/14/2012 14:39","Lincoln Park / 13th & East Capitol St NE ","15th St & Massachusetts Ave SE","W01108","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 4m 31s","11/14/2012 14:35","11/14/2012 14:40","4th & East Capitol St NE","Columbus Circle / Union Station","W20969","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 7m 8s","11/14/2012 14:35","11/14/2012 14:42","Adams Mill & Columbia Rd NW","Massachusetts Ave & Dupont Circle NW","W01059","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 14m 39s","11/14/2012 14:34","11/14/2012 14:49","Tenleytown / Wisconsin Ave & Albemarle St NW","Tenleytown / Wisconsin Ave & Albemarle St NW","W00307","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 7m 42s","11/14/2012 14:34","11/14/2012 14:41","Thomas Circle","19th St & Pennsylvania Ave NW","W01470","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 4m 49s","11/14/2012 14:32","11/14/2012 14:37","New Hampshire Ave & T St NW [formerly 16th & U St NW]","17th & Rhode Island Ave NW","W20069","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 4m 27s","11/14/2012 14:32","11/14/2012 14:36","15th & P St NW","Massachusetts Ave & Dupont Circle NW","W01398","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 11m 21s","11/14/2012 14:32","11/14/2012 14:43","US Dept of State / Virginia Ave & 21st St NW","17th & Corcoran St NW","W01053","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 23s","11/14/2012 14:31","11/14/2012 14:41","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","N Veitch  & 20th St N","W01474","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 46s","11/14/2012 14:32","11/14/2012 14:35","McPherson Square - 14th & H St NW","Metro Center / 12th & G St NW","W01355","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 4m 52s","11/14/2012 14:31","11/14/2012 14:36","7th & T St NW","Florida Ave & R St NW","W00207","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 4m 42s","11/14/2012 14:31","11/14/2012 14:36","1st & K St SE","4th & M St SW","W00574","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 12m 35s","11/14/2012 14:31","11/14/2012 14:43","USDA / 12th & Independence Ave SW","19th & L St NW","W00277","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 59s","11/14/2012 14:31","11/14/2012 14:41","5th St & K St NW","Smithsonian / Jefferson Dr & 12th St SW","W20914","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 8m 48s","11/14/2012 14:30","11/14/2012 14:38","15th & P St NW","24th & N St NW","W01165","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 10m 36s","11/14/2012 14:28","11/14/2012 14:39","22nd & I St NW / Foggy Bottom","Massachusetts Ave & Dupont Circle NW","W00108","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 51s","11/14/2012 14:28","11/14/2012 14:38","4th & E St SW","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00117","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 56s","11/14/2012 14:28","11/14/2012 14:38","Park Rd & Holmead Pl NW","Columbia Rd & Belmont St NW","W01223","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 12m 13s","11/14/2012 14:28","11/14/2012 14:40","8th & H St NW","11th & H St NE","W01039","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 23m 46s","11/14/2012 14:28","11/14/2012 14:52","1st & M St NE","18th St & Pennsylvania Ave NW","W00032","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 11m 12s","11/14/2012 14:27","11/14/2012 14:38","25th St & Pennsylvania Ave NW","14th & G St NW","W00978","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 4s","11/14/2012 14:27","11/14/2012 14:36","21st St & Pennsylvania Ave NW","14th & Rhode Island Ave NW","W00026","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 6m 28s","11/14/2012 14:27","11/14/2012 14:33","14th & V St NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W00252","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 28s","11/14/2012 14:26","11/14/2012 14:30","7th & R St NW / Shaw Library","14th & R St NW","W20129","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 9m 59s","11/14/2012 14:26","11/14/2012 14:36","5th St & K St NW","17th & Corcoran St NW","W20964","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 3m 53s","11/14/2012 14:26","11/14/2012 14:30","Lincoln Park / 13th & East Capitol St NE ","Eastern Market / 7th & North Carolina Ave SE","W01176","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 13m 55s","11/14/2012 14:25","11/14/2012 14:39","14th & R St NW","22nd & I St NW / Foggy Bottom","W00364","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 7m 35s","11/14/2012 14:25","11/14/2012 14:33","14th & R St NW","Massachusetts Ave & Dupont Circle NW","W01031","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 8m 29s","11/14/2012 14:25","11/14/2012 14:33","Thomas Circle","17th & Corcoran St NW","W00462","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 4m 41s","11/14/2012 14:25","11/14/2012 14:29","Gallaudet / 8th St & Florida Ave NE","1st & M St NE","W00827","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 14m 22s","11/14/2012 14:25","11/14/2012 14:39","21st St & Pennsylvania Ave NW","1st & Rhode Island Ave NW","W00173","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 8m 13s","11/14/2012 14:24","11/14/2012 14:33","Adams Mill & Columbia Rd NW","Massachusetts Ave & Dupont Circle NW","W01189","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 23m 18s","11/14/2012 14:25","11/14/2012 14:48","Smithsonian / Jefferson Dr & 12th St SW","4th & East Capitol St NE","W00163","Casual",2012-11-14 14:00:00,1,"2012-11"
"0h 10m 55s","11/14/2012 14:24","11/14/2012 14:35","Jefferson Memorial","10th & E St NW","W20197","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 20m 48s","11/14/2012 14:24","11/14/2012 14:45","Maryland & Independence Ave SW","17th & Corcoran St NW","W00803","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"1h 37m 39s","11/14/2012 14:25","11/14/2012 16:02","Thomas Circle","Thomas Circle","W00150","Casual",2012-11-14 14:00:00,1,"2012-11"
"0h 5m 51s","11/14/2012 14:24","11/14/2012 14:30","25th St & Pennsylvania Ave NW","19th St & Pennsylvania Ave NW","W01166","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 6m 48s","11/14/2012 14:24","11/14/2012 14:31","14th & V St NW","7th & T St NW","W00870","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 6m 15s","11/14/2012 14:24","11/14/2012 14:30","Lynn & 19th St North","Court House Metro / Wilson Blvd & N Uhle St","W20936","Subscriber",2012-11-14 14:00:00,1,"2012-11"
"0h 14m 41s","11/14/2012 14:24","11/14/2012 14:38","19th St & Constitution Ave NW","10th St & Constitution Ave NW","W00752","Subscriber",2012-11-14 14:00:00,1,"2012-11"
